Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
06/18/2025,1072,0,1072,481,487,0,487,11,0,11,0,0,0,0,0,0,0.46455223880597013,0,0.46455223880597013
06/19/2025,1141,0,1141,260,351,0,351,17,0,17,0,0,0,0,0,0,0.32252410166520595,0,0.32252410166520595
06/20/2025,1141,0,1141,394,206,0,206,16,0,16,2,0,2,0,0,0,0.19631901840490798,0,0.19631901840490798
06/21/2025,639,0,639,263,184,0,184,13,0,13,1,0,1,0,0,0,0.30985915492957744,0,0.30985915492957744
06/22/2025,516,0,516,210,60,0,60,1,0,1,0,0,0,0,0,0,0.1182170542635659,0,0.1182170542635659
06/23/2025,3211,0,3211,1215,1891,0,1891,64,0,64,1,0,1,0,0,0,0.6091560261600747,0,0.6091560261600747
06/24/2025,1081,0,1081,369,357,0,357,26,0,26,0,0,0,0,0,0,0.35430157261794637,0,0.35430157261794637
06/25/2025,931,0,931,301,92,0,92,16,0,16,0,0,0,0,0,0,0.11600429645542427,0,0.11600429645542427
06/26/2025,2212,0,2212,851,390,0,390,48,0,48,17,0,17,0,0,0,0.20569620253164558,0,0.20569620253164558
06/27/2025,1068,0,1068,343,326,0,326,14,0,14,1,0,1,0,0,0,0.3192883895131086,0,0.3192883895131086
06/28/2025,472,0,472,237,47,0,47,8,0,8,0,0,0,0,0,0,0.11652542372881355,0,0.11652542372881355
06/29/2025,632,0,632,228,157,0,157,3,0,3,0,0,0,0,0,0,0.25316455696202533,0,0.25316455696202533
06/30/2025,2853,0,2853,1041,2530,0,2530,74,0,74,1,0,1,2,0,2,0.9137749737118822,0,0.9137749737118822
07/01/2025,3133,0,3133,1185,3078,0,3078,54,0,54,2,0,2,0,0,0,1.000319182891797,0,1.000319182891797
07/02/2025,2662,0,2662,881,2306,0,2306,40,0,40,0,0,0,0,0,0,0.8812922614575507,0,0.8812922614575507
07/03/2025,1275,0,1275,463,770,0,770,20,0,20,2,0,2,0,0,0,0.6211764705882353,0,0.6211764705882353
07/04/2025,1451,0,1451,600,557,0,557,10,0,10,0,0,0,0,0,0,0.3907649896623019,0,0.3907649896623019
07/05/2025,1573,0,1573,456,707,0,707,5,0,5,0,0,0,-1,0,-1,0.45200254291163383,0,0.45200254291163383
07/06/2025,1776,0,1776,353,460,0,460,6,0,6,0,0,0,0,0,0,0.26238738738738737,0,0.26238738738738737
07/07/2025,1832,0,1832,695,341,0,341,48,0,48,1,0,1,0,0,0,0.212882096069869,0,0.212882096069869
07/08/2025,969,0,969,362,248,0,248,13,0,13,0,0,0,0,0,0,0.2693498452012384,0,0.2693498452012384
07/09/2025,3357,0,3357,1335,2313,0,2313,104,0,104,7,0,7,0,0,0,0.7220732797140303,0,0.7220732797140303
07/10/2025,2656,0,2656,911,1511,0,1511,58,0,58,6,0,6,0,0,0,0.5929969879518072,0,0.5929969879518072
07/11/2025,2320,0,2320,1032,665,0,665,27,0,27,0,0,0,0,0,0,0.2982758620689655,0,0.2982758620689655
07/12/2025,1249,0,1249,659,253,0,253,11,0,11,0,0,0,0,0,0,0.21136909527622097,0,0.21136909527622097
07/13/2025,895,0,895,460,318,0,318,5,0,5,0,0,0,0,0,0,0.36089385474860336,0,0.36089385474860336
07/14/2025,1162,0,1162,400,522,0,522,8,0,8,0,0,0,0,0,0,0.45611015490533563,0,0.45611015490533563
07/15/2025,1629,0,1629,708,293,0,293,46,0,46,0,0,0,1,0,1,0.2087170042971148,0,0.2087170042971148
07/16/2025,1244,0,1244,458,462,0,462,20,0,20,0,0,0,0,0,0,0.387459807073955,0,0.387459807073955
07/17/2025,1525,0,1525,323,717,0,717,15,0,15,0,0,0,0,0,0,0.48,0,0.48
07/18/2025,4172,0,4172,1588,2019,0,2019,91,0,91,7,0,7,3,0,3,0.5081495685522531,0,0.5081495685522531
07/19/2025,2121,0,2121,767,867,0,867,26,0,26,0,0,0,0,0,0,0.42102781706742104,0,0.42102781706742104
07/20/2025,1288,0,1288,453,429,0,429,17,0,17,0,0,0,1,0,1,0.3470496894409938,0,0.3470496894409938
07/21/2025,921,0,921,383,235,0,235,9,0,9,1,0,1,0,0,0,0.26601520086862107,0,0.26601520086862107
07/22/2025,1284,0,1284,354,426,0,426,7,0,7,0,0,0,0,0,0,0.3372274143302181,0,0.3372274143302181
07/23/2025,1965,0,1965,817,280,0,280,49,0,49,3,0,3,0,0,0,0.16895674300254454,0,0.16895674300254454
07/24/2025,1276,0,1276,411,324,0,324,16,0,16,6,0,6,0,0,0,0.2711598746081505,0,0.2711598746081505
07/25/2025,1286,0,1286,353,518,0,518,14,0,14,0,0,0,0,0,0,0.41368584758942456,0,0.41368584758942456
07/26/2025,681,0,681,251,269,0,269,4,0,4,1,0,1,0,0,0,0.4023494860499266,0,0.4023494860499266
07/27/2025,475,0,475,213,162,0,162,5,0,5,2,0,2,0,0,0,0.35578947368421054,0,0.35578947368421054
07/28/2025,3258,0,3258,1510,4186,0,4186,50,0,50,5,0,5,0,0,0,1.301718845917741,0,1.301718845917741
07/29/2025,1225,0,1225,493,1161,0,1161,16,0,16,0,0,0,0,0,0,0.9608163265306122,0,0.9608163265306122
07/30/2025,3276,0,3276,1380,1874,0,1874,73,0,73,2,0,2,1,0,1,0.5952380952380952,0,0.5952380952380952
07/31/2025,1383,0,1383,609,587,0,587,33,0,33,0,0,0,1,0,1,0.4490238611713666,0,0.4490238611713666
08/01/2025,1465,0,1465,547,1177,0,1177,28,0,28,0,0,0,0,0,0,0.8225255972696246,0,0.8225255972696246
08/02/2025,989,0,989,392,537,0,537,13,0,13,2,0,2,0,0,0,0.5581395348837209,0,0.5581395348837209
08/03/2025,625,0,625,259,278,0,278,9,0,9,0,0,0,0,0,0,0.4592,0,0.4592
08/04/2025,1582,0,1582,550,384,0,384,23,0,23,1,0,1,-1,0,-1,0.2572692793931732,0,0.2572692793931732
08/05/2025,950,0,950,261,206,0,206,18,0,18,3,0,3,0,0,0,0.23894736842105263,0,0.23894736842105263
08/06/2025,86,0,86,43,85,0,85,10,0,10,0,0,0,0,0,0,1.1046511627906976,0,1.1046511627906976
08/07/2025,195,0,195,87,118,0,118,7,0,7,0,0,0,0,0,0,0.6410256410256411,0,0.6410256410256411
08/08/2025,90,0,90,37,177,0,177,10,0,10,1,0,1,0,0,0,2.088888888888889,0,2.088888888888889
08/09/2025,627,0,627,162,152,0,152,4,0,4,4,0,4,0,0,0,0.2551834130781499,0,0.2551834130781499
08/10/2025,592,0,592,192,173,0,173,4,0,4,0,0,0,0,0,0,0.2989864864864865,0,0.2989864864864865
08/11/2025,656,0,656,163,98,0,98,3,0,3,5,0,5,0,0,0,0.16158536585365854,0,0.16158536585365854
08/12/2025,1320,0,1320,516,274,0,274,34,0,34,0,0,0,0,0,0,0.23333333333333334,0,0.23333333333333334
08/13/2025,2132,0,2132,705,1147,0,1147,32,0,32,3,0,3,1,0,1,0.5548780487804879,0,0.5548780487804879
08/14/2025,735,0,735,268,283,0,283,17,0,17,0,0,0,0,0,0,0.40816326530612246,0,0.40816326530612246
08/15/2025,2721,0,2721,721,1889,0,1889,108,0,108,2,0,2,0,0,0,0.7346563763322308,0,0.7346563763322308
08/16/2025,2242,0,2242,830,1132,0,1132,59,0,59,0,0,0,0,0,0,0.5312221231043711,0,0.5312221231043711
08/17/2025,1423,0,1423,558,673,0,673,27,0,27,0,0,0,0,0,0,0.49191848208011246,0,0.49191848208011246
08/18/2025,1719,0,1719,618,722,0,722,26,0,26,0,0,0,0,0,0,0.4351367073880163,0,0.4351367073880163
08/19/2025,1339,0,1339,379,365,0,365,17,0,17,0,0,0,0,0,0,0.2852875280059746,0,0.2852875280059746
08/20/2025,1295,0,1295,422,615,0,615,17,0,17,0,0,0,0,0,0,0.488030888030888,0,0.488030888030888
08/21/2025,1406,0,1406,456,439,0,439,24,0,24,0,0,0,0,0,0,0.32930298719772405,0,0.32930298719772405
08/22/2025,2110,0,2110,777,330,0,330,55,0,55,0,0,0,0,0,0,0.18246445497630331,0,0.18246445497630331
08/23/2025,796,0,796,307,270,0,270,17,0,17,0,0,0,0,0,0,0.36055276381909546,0,0.36055276381909546
08/24/2025,834,0,834,268,278,0,278,8,0,8,0,0,0,0,0,0,0.34292565947242204,0,0.34292565947242204
08/25/2025,1560,0,1560,607,163,0,163,30,0,30,1,0,1,0,0,0,0.12435897435897436,0,0.12435897435897436
08/26/2025,1823,0,1823,586,291,0,291,42,0,42,0,0,0,0,0,0,0.18266593527153044,0,0.18266593527153044
08/27/2025,3522,0,3522,1369,3764,0,3764,63,0,63,2,0,2,0,0,0,1.0871663827370812,0,1.0871663827370812
08/28/2025,2269,0,2269,961,1902,0,1902,38,0,38,0,0,0,0,0,0,0.8550022036139269,0,0.8550022036139269
08/29/2025,1789,0,1789,662,1134,0,1134,31,0,31,2,0,2,0,0,0,0.6523197316936836,0,0.6523197316936836
08/30/2025,968,0,968,360,593,0,593,15,0,15,0,0,0,0,0,0,0.628099173553719,0,0.628099173553719
08/31/2025,717,0,717,316,307,0,307,12,0,12,0,0,0,0,0,0,0.44490934449093444,0,0.44490934449093444
09/01/2025,1398,0,1398,505,918,0,918,34,0,34,0,0,0,0,0,0,0.6809728183118741,0,0.6809728183118741
09/02/2025,762,0,762,298,400,0,400,8,0,8,0,0,0,0,0,0,0.5354330708661418,0,0.5354330708661418
09/03/2025,1140,0,1140,443,446,0,446,13,0,13,0,0,0,0,0,0,0.4026315789473684,0,0.4026315789473684
09/04/2025,848,0,848,235,312,0,312,24,0,24,0,0,0,0,0,0,0.39622641509433965,0,0.39622641509433965
09/05/2025,1181,0,1181,389,327,0,327,23,0,23,0,0,0,0,0,0,0.29635901778154106,0,0.29635901778154106
09/06/2025,536,0,536,198,190,0,190,14,0,14,0,0,0,0,0,0,0.3805970149253731,0,0.3805970149253731
09/07/2025,700,0,700,174,201,0,201,6,0,6,0,0,0,0,0,0,0.2957142857142857,0,0.2957142857142857
09/08/2025,1853,0,1853,689,295,0,295,38,0,38,4,0,4,0,0,0,0.18186724230976795,0,0.18186724230976795
09/09/2025,831,0,831,295,292,0,292,12,0,12,2,0,2,0,0,0,0.36823104693140796,0,0.36823104693140796
09/10/2025,827,0,827,250,177,0,177,12,0,12,1,0,1,0,0,0,0.22974607013301088,0,0.22974607013301088
09/11/2025,674,0,674,220,202,0,202,6,0,6,0,0,0,0,0,0,0.3086053412462908,0,0.3086053412462908
09/12/2025,858,0,858,264,489,0,489,8,0,8,0,0,0,0,0,0,0.5792540792540792,0,0.5792540792540792
09/13/2025,757,0,757,251,361,0,361,5,0,5,0,0,0,0,0,0,0.48348745046235136,0,0.48348745046235136
09/14/2025,621,0,621,216,141,0,141,3,0,3,1,0,1,0,0,0,0.23349436392914655,0,0.23349436392914655
09/15/2025,1786,0,1786,841,1905,0,1905,42,0,42,1,0,1,0,0,0,1.0907054871220605,0,1.0907054871220605
09/16/2025,1229,0,1229,429,901,0,901,17,0,17,-1,0,-1,0,0,0,0.7461350691619203,0,0.7461350691619203
09/17/2025,614,0,614,245,376,0,376,8,0,8,0,0,0,0,0,0,0.6254071661237784,0,0.6254071661237784
09/18/2025,947,0,947,389,224,0,224,23,0,23,0,0,0,0,0,0,0.2608236536430834,0,0.2608236536430834
09/19/2025,522,0,522,194,161,0,161,7,0,7,0,0,0,0,0,0,0.3218390804597701,0,0.3218390804597701
09/20/2025,398,0,398,151,156,0,156,1,0,1,0,0,0,0,0,0,0.3944723618090452,0,0.3944723618090452
09/21/2025,541,0,541,143,201,0,201,4,0,4,0,0,0,0,0,0,0.3789279112754159,0,0.3789279112754159
09/22/2025,3068,0,3068,1395,924,0,924,50,0,50,0,0,0,1,0,1,0.3177966101694915,0,0.3177966101694915
09/23/2025,1480,0,1480,609,300,0,300,45,0,45,0,0,0,0,0,0,0.23310810810810811,0,0.23310810810810811
09/24/2025,1743,0,1743,623,344,0,344,29,0,29,0,0,0,1,0,1,0.21457257601835916,0,0.21457257601835916
09/25/2025,1107,0,1107,306,252,0,252,19,0,19,0,0,0,0,0,0,0.24480578139114725,0,0.24480578139114725
09/26/2025,845,0,845,392,140,0,140,16,0,16,0,0,0,1,0,1,0.18579881656804734,0,0.18579881656804734
09/27/2025,470,0,470,173,78,0,78,6,0,6,0,0,0,0,0,0,0.17872340425531916,0,0.17872340425531916
09/28/2025,385,0,385,164,94,0,94,3,0,3,0,0,0,0,0,0,0.2519480519480519,0,0.2519480519480519
09/29/2025,1169,0,1169,286,402,0,402,22,0,22,0,0,0,0,0,0,0.3627031650983747,0,0.3627031650983747
09/30/2025,1223,0,1223,509,256,0,256,31,0,31,2,0,2,0,0,0,0.23630417007358953,0,0.23630417007358953
10/01/2025,3078,0,3078,1237,6386,0,6386,90,0,90,0,0,0,1,0,1,2.104288499025341,0,2.104288499025341
10/02/2025,1411,0,1411,564,1948,0,1948,42,0,42,0,0,0,0,0,0,1.410347271438696,0,1.410347271438696
10/03/2025,542,0,542,275,399,0,399,3,0,3,0,0,0,0,0,0,0.7416974169741697,0,0.7416974169741697
10/04/2025,687,0,687,202,762,0,762,14,0,14,0,0,0,0,0,0,1.1295487627365357,0,1.1295487627365357
10/05/2025,557,0,557,174,557,0,557,3,0,3,0,0,0,0,0,0,1.0053859964093357,0,1.0053859964093357
10/06/2025,1400,0,1400,484,489,0,489,24,0,24,0,0,0,0,0,0,0.36642857142857144,0,0.36642857142857144
10/07/2025,2007,0,2007,773,371,0,371,34,0,34,0,0,0,1,0,1,0.20229197807673144,0,0.20229197807673144
10/08/2025,2072,0,2072,932,632,0,632,15,0,15,0,0,0,0,0,0,0.3122586872586873,0,0.3122586872586873
10/09/2025,735,0,735,316,267,0,267,11,0,11,0,0,0,0,0,0,0.3782312925170068,0,0.3782312925170068
10/10/2025,914,0,914,501,294,0,294,30,0,30,0,0,0,0,0,0,0.3544857768052516,0,0.3544857768052516
10/11/2025,503,0,503,207,189,0,189,8,0,8,0,0,0,0,0,0,0.39165009940357853,0,0.39165009940357853
10/12/2025,527,0,527,187,203,0,203,6,0,6,0,0,0,0,0,0,0.396584440227704,0,0.396584440227704
10/13/2025,1061,0,1061,389,258,0,258,33,0,33,0,0,0,0,0,0,0.27426955702167766,0,0.27426955702167766
10/14/2025,634,0,634,207,177,0,177,10,0,10,0,0,0,0,0,0,0.2949526813880126,0,0.2949526813880126
10/15/2025,1527,0,1527,780,556,0,556,21,0,21,0,0,0,0,0,0,0.37786509495743287,0,0.37786509495743287
10/16/2025,800,0,800,230,212,0,212,10,0,10,0,0,0,0,0,0,0.2775,0,0.2775
10/17/2025,598,0,598,142,14,0,14,3,0,3,0,0,0,0,0,0,0.028428093645484948,0,0.028428093645484948
10/18/2025,476,0,476,118,5,0,5,2,0,2,0,0,0,0,0,0,0.014705882352941176,0,0.014705882352941176
10/19/2025,609,0,609,121,27,0,27,1,0,1,0,0,0,0,0,0,0.04597701149425287,0,0.04597701149425287
10/20/2025,2921,0,2921,947,300,0,300,86,0,86,0,0,0,0,0,0,0.13214652516261555,0,0.13214652516261555
10/21/2025,1256,0,1256,509,226,0,226,26,0,26,0,0,0,1,0,1,0.2014331210191083,0,0.2014331210191083
10/22/2025,1872,0,1872,575,162,0,162,55,0,55,3,0,3,0,0,0,0.11752136752136752,0,0.11752136752136752
10/23/2025,1059,0,1059,413,91,0,91,45,0,45,1,0,1,0,0,0,0.12936732766761094,0,0.12936732766761094
10/24/2025,991,0,991,427,84,0,84,30,0,30,2,0,2,1,0,1,0.11806256306760847,0,0.11806256306760847
10/25/2025,558,0,558,234,35,0,35,8,0,8,0,0,0,0,0,0,0.07706093189964158,0,0.07706093189964158
10/26/2025,582,0,582,216,73,0,73,6,0,6,0,0,0,0,0,0,0.13573883161512026,0,0.13573883161512026
10/27/2025,632,0,632,213,33,0,33,15,0,15,0,0,0,0,0,0,0.0759493670886076,0,0.0759493670886076
10/28/2025,654,0,654,191,90,0,90,6,0,6,0,0,0,0,0,0,0.14678899082568808,0,0.14678899082568808
10/29/2025,1914,0,1914,820,728,0,728,29,0,29,1,0,1,0,0,0,0.3960292580982236,0,0.3960292580982236
10/30/2025,960,0,960,288,163,0,163,10,0,10,0,0,0,0,0,0,0.18020833333333333,0,0.18020833333333333
10/31/2025,1833,0,1833,612,68,0,68,38,0,38,0,0,0,0,0,0,0.05782869612656847,0,0.05782869612656847
11/01/2025,818,0,818,354,160,0,160,12,0,12,0,0,0,0,0,0,0.21026894865525672,0,0.21026894865525672
11/02/2025,531,0,531,225,68,0,68,5,0,5,0,0,0,0,0,0,0.1374764595103578,0,0.1374764595103578
11/03/2025,2035,0,2035,827,128,0,128,7,0,7,0,0,0,0,0,0,0.06633906633906633,0,0.06633906633906633
11/04/2025,805,0,805,216,59,0,59,8,0,8,1,0,1,0,0,0,0.084472049689441,0,0.084472049689441
11/05/2025,853,0,853,267,84,0,84,15,0,15,0,0,0,0,0,0,0.1160609613130129,0,0.1160609613130129
11/06/2025,617,0,617,247,189,0,189,7,0,7,0,0,0,0,0,0,0.31766612641815234,0,0.31766612641815234
11/07/2025,624,0,624,209,196,0,196,9,0,9,0,0,0,0,0,0,0.328525641025641,0,0.328525641025641
11/08/2025,460,0,460,146,30,0,30,2,0,2,0,0,0,0,0,0,0.06956521739130435,0,0.06956521739130435
11/09/2025,324,0,324,151,20,0,20,3,0,3,1,0,1,0,0,0,0.07407407407407407,0,0.07407407407407407
11/10/2025,608,0,608,158,25,0,25,1,0,1,0,0,0,0,0,0,0.04276315789473684,0,0.04276315789473684
11/11/2025,2817,0,2817,1151,159,0,159,64,0,64,2,0,2,1,0,1,0.08022719204827831,0,0.08022719204827831
11/12/2025,947,0,947,330,100,0,100,13,0,13,0,0,0,0,0,0,0.11932418162618796,0,0.11932418162618796
11/13/2025,1743,0,1743,595,107,0,107,30,0,30,0,0,0,0,0,0,0.07860011474469306,0,0.07860011474469306
11/14/2025,2323,0,2323,707,80,0,80,43,0,43,0,0,0,0,0,0,0.052948773138183386,0,0.052948773138183386
11/15/2025,921,0,921,294,108,0,108,16,0,16,0,0,0,0,0,0,0.13463626492942454,0,0.13463626492942454
11/16/2025,580,0,580,195,66,0,66,5,0,5,0,0,0,0,0,0,0.12241379310344827,0,0.12241379310344827
11/17/2025,729,0,729,209,255,0,255,16,0,16,0,0,0,0,0,0,0.3717421124828532,0,0.3717421124828532
11/18/2025,709,0,709,166,271,0,271,3,0,3,0,0,0,0,0,0,0.38645980253878703,0,0.38645980253878703
11/19/2025,549,0,549,213,169,0,169,5,0,5,0,0,0,0,0,0,0.31693989071038253,0,0.31693989071038253
11/20/2025,1426,0,1426,505,392,0,392,26,0,26,0,0,0,1,0,1,0.2938288920056101,0,0.2938288920056101
11/21/2025,2326,0,2326,639,739,0,739,74,0,74,0,0,0,0,0,0,0.34952708512467756,0,0.34952708512467756
11/22/2025,1059,0,1059,289,358,0,358,24,0,24,0,0,0,0,0,0,0.3607176581680831,0,0.3607176581680831
11/23/2025,623,0,623,224,152,0,152,10,0,10,0,0,0,0,0,0,0.26003210272873195,0,0.26003210272873195
11/24/2025,3365,0,3365,1249,829,0,829,70,0,70,1,0,1,0,0,0,0.2674591381872214,0,0.2674591381872214
11/25/2025,2049,0,2049,712,675,0,675,49,0,49,1,0,1,0,0,0,0.3538311371400683,0,0.3538311371400683
11/26/2025,894,0,894,341,331,0,331,18,0,18,0,0,0,0,0,0,0.39038031319910516,0,0.39038031319910516
11/27/2025,1890,0,1890,646,534,0,534,56,0,56,0,0,0,0,0,0,0.31216931216931215,0,0.31216931216931215
11/28/2025,2664,0,2664,1043,2369,0,2369,67,0,67,6,0,6,1,0,1,0.9170420420420421,0,0.9170420420420421
11/29/2025,1263,0,1263,384,905,0,905,27,0,27,0,0,0,0,0,0,0.7379255740300871,0,0.7379255740300871
11/30/2025,754,0,754,269,414,0,414,14,0,14,0,0,0,0,0,0,0.5676392572944297,0,0.5676392572944297
12/01/2025,1540,0,1540,608,808,0,808,21,0,21,0,0,0,0,0,0,0.5383116883116883,0,0.5383116883116883
12/02/2025,729,0,729,282,373,0,373,11,0,11,0,0,0,0,0,0,0.5267489711934157,0,0.5267489711934157
12/03/2025,699,0,699,206,267,0,267,8,0,8,0,0,0,0,0,0,0.39341917024320455,0,0.39341917024320455
12/04/2025,787,0,787,183,184,0,184,7,0,7,0,0,0,0,0,0,0.24269377382465057,0,0.24269377382465057
12/05/2025,395,0,395,124,114,0,114,5,0,5,0,0,0,0,0,0,0.3012658227848101,0,0.3012658227848101
12/06/2025,283,0,283,112,144,0,144,3,0,3,0,0,0,0,0,0,0.519434628975265,0,0.519434628975265
12/07/2025,390,0,390,130,284,0,284,5,0,5,0,0,0,0,0,0,0.7410256410256411,0,0.7410256410256411
12/08/2025,519,0,519,148,215,0,215,5,0,5,0,0,0,0,0,0,0.4238921001926782,0,0.4238921001926782
12/09/2025,840,0,840,140,234,0,234,5,0,5,0,0,0,0,0,0,0.2845238095238095,0,0.2845238095238095
12/10/2025,571,0,571,225,149,0,149,7,0,7,0,0,0,1,0,1,0.27495621716287216,0,0.27495621716287216
12/11/2025,1190,0,1190,388,387,0,387,24,0,24,0,0,0,0,0,0,0.3453781512605042,0,0.3453781512605042
12/12/2025,1336,0,1336,417,371,0,371,28,0,28,0,0,0,0,0,0,0.2986526946107784,0,0.2986526946107784
12/13/2025,965,0,965,342,265,0,265,17,0,17,0,0,0,0,0,0,0.2922279792746114,0,0.2922279792746114
12/14/2025,625,0,625,268,239,0,239,10,0,10,0,0,0,0,0,0,0.3984,0,0.3984
12/15/2025,1439,0,1439,424,835,0,835,19,0,19,1,0,1,2,0,2,0.595552466990966,0,0.595552466990966
12/16/2025,1626,0,1626,489,834,0,834,40,0,40,0,0,0,1,0,1,0.5381303813038131,0,0.5381303813038131
12/17/2025,1540,0,1540,393,856,0,856,22,0,22,0,0,0,1,0,1,0.5707792207792208,0,0.5707792207792208
12/18/2025,1714,0,1714,439,1236,0,1236,29,0,29,0,0,0,0,0,0,0.7380396732788798,0,0.7380396732788798
12/19/2025,1181,0,1181,341,1122,0,1122,18,0,18,0,0,0,0,0,0,0.9652836579170194,0,0.9652836579170194
12/20/2025,517,0,517,187,467,0,467,3,0,3,0,0,0,0,0,0,0.9090909090909091,0,0.9090909090909091
